Year,Averagewages,Real Personal Income,Labor productivity
1990,1788,100,100
1991,1788,100,108
1992,1788,113,114
1993,1788,115,112
1994,1788,119,114
1995,2328,127,117
1996,2637,135,120
1997,2986,141,114
1998,3052,140,111
1999,3104,149,113
2000,3157,153,120
2001,3408,153,122
2002,3432,139,124
2003,3673,132,125
2004,4088,142,128
2005,4420,156,134
2006,4994,154,129
2007,5768,156,131
2008,6612,161,129
2009,7635,160,128
2010,8622,164,127
2011,9714,173,129
2012,10544,182,131
2013,11210,186,135
2014,11930,197,140
2015,12743,203,144
2016,13515,218,149
2017,14447,237,154
2018,17421,253,159
2019,21005,264,161
