Date,Food,Textile,Petroleum,Other_Mnfg,Others,F&I,Other_exports,All_Others,Total_BOP,Services,Target
2014-10-01,308.77,1163.29,66.97,368.17,117.75,47.97,111.03,228.78,2088.00,401.00,2489.00
2014-11-01,300.69,958.40,104.33,331.93,93.26,53.16,125.55,218.81,1861.00,310.00,2171.00
2014-12-01,439.00,1213.26,84.80,386.16,112.52,59.75,81.01,193.53,2257.00,453.00,2710.00
2015-01-01,444.37,1123.61,55.92,336.68,124.96,56.50,-65.04,59.91,1964.00,360.00,2324.00
2015-02-01,410.50,1053.24,39.69,335.75,93.68,58.30,-21.55,72.13,1853.00,1043.00,2896.00
2015-03-01,441.02,1205.87,56.59,364.91,109.72,54.00,-75.11,34.60,2049.00,438.00,2487.00
2015-04-01,432.73,1101.79,85.20,375.86,94.24,49.52,26.70,120.94,2067.00,403.00,2470.00
2015-05-01,398.43,1068.82,45.26,359.15,97.24,47.20,-41.71,55.53,1880.00,318.00,2198.00
2015-06-01,320.52,1177.70,85.02,388.55,148.95,35.58,25.84,174.79,2111.00,403.00,2514.00
2015-07-01,242.18,1127.78,41.36,343.34,82.65,37.72,-40.58,42.06,1759.00,715.00,2474.00
2015-08-01,237.70,1027.66,57.44,322.54,100.84,47.98,39.79,140.64,1738.00,341.00,2079.00
2015-09-01,287.09,1137.36,21.92,349.09,110.81,45.46,-39.80,71.01,1821.00,711.00,2532.00
2015-10-01,310.07,1093.83,38.01,311.26,91.53,41.47,-25.24,66.29,1778.00,400.00,2178.00
2015-11-01,286.04,983.28,54.93,271.69,92.33,33.29,85.02,177.34,1740.00,321.00,2061.00
2015-12-01,366.27,1121.91,41.94,321.45,75.36,41.08,61.16,136.52,1947.00,444.00,2391.00
2016-01-01,332.19,1014.09,35.49,258.02,76.73,46.68,22.16,98.89,1692.00,354.00,2046.00
2016-02-01,326.89,996.04,27.43,304.32,83.93,32.19,157.59,241.52,1864.00,351.00,2215.00
2016-03-01,369.73,1099.06,28.57,332.92,81.19,37.83,115.36,196.55,1989.00,447.00,2436.00
2016-04-01,336.80,1026.01,33.67,312.87,91.00,33.09,50.74,141.74,1818.00,594.00,2412.00
2016-05-01,307.97,1021.83,31.71,320.19,97.53,34.27,214.04,311.57,1959.00,361.00,2320.00
2016-06-01,319.56,1107.43,37.72,356.82,100.03,28.85,-25.72,74.31,1867.00,417.00,2284.00
2016-07-01,201.66,972.34,30.98,267.98,63.10,16.10,-11.97,51.13,1508.00,349.00,1857.00
2016-08-01,207.43,1073.42,31.17,300.34,116.84,14.82,142.62,259.46,1857.00,435.00,2292.00
2016-09-01,225.75,1018.89,41.38,322.36,97.73,17.88,0.78,98.51,1689.00,443.00,2132.00
2016-10-01,278.82,997.56,25.31,273.72,87.86,19.46,182.22,270.07,1826.02,394.00,2220.02
2016-11-01,325.91,1038.00,34.76,297.50,108.09,18.46,74.21,182.30,1860.00,413.00,2273.00
2016-12-01,337.96,1003.08,33.85,285.62,111.32,17.15,136.31,247.64,1891.00,491.00,2382.00
2017-01-01,311.93,1051.24,48.18,271.67,112.53,13.99,29.44,141.97,1811.00,428.00,2239.00
2017-02-01,326.55,1033.10,37.04,291.27,82.64,15.95,42.35,124.98,1797.00,761.00,2558.00
2017-03-01,362.77,1160.80,32.08,350.03,120.06,16.34,65.61,185.66,2075.00,801.00,2876.00
2017-04-01,384.03,947.30,37.23,292.14,110.59,14.28,70.02,180.61,1827.03,456.00,2283.03
2017-05-01,368.93,1087.41,38.04,359.95,101.44,15.16,37.39,138.83,1978.00,449.00,2427.00
2017-06-01,285.90,1073.76,20.70,346.06,106.46,16.45,67.57,174.03,1884.00,495.00,2379.00
2017-07-01,251.56,1029.05,37.12,301.94,76.81,18.02,138.54,215.35,1817.00,415.00,2232.00
2017-08-01,254.65,1169.17,50.12,388.12,120.95,21.87,128.87,249.82,2090.00,457.00,2547.00
2017-09-01,233.07,1080.51,43.56,334.94,83.90,17.34,-15.63,68.27,1743.00,518.00,2261.00
2017-10-01,292.87,1165.17,57.55,333.41,118.48,20.63,13.15,131.63,1960.00,463.00,2423.00
2017-11-01,420.46,1110.38,52.47,360.63,137.67,19.07,110.45,248.13,2173.00,492.00,2665.00
2017-12-01,432.74,1040.52,39.09,318.50,119.48,36.21,93.89,213.37,2008.00,593.00,2601.00
2018-01-01,445.91,1203.01,53.55,334.70,133.39,18.24,-62.31,71.07,2090.00,470.00,2560.00
2018-02-01,455.14,1074.43,52.80,343.66,97.13,17.26,51.09,148.23,2057.00,503.00,2560.00
2018-03-01,582.89,1147.36,22.83,393.13,167.18,15.33,17.94,185.12,2316.00,483.00,2799.00
2018-04-01,530.18,1087.36,37.84,353.35,102.12,15.56,139.72,241.83,2235.00,442.00,2677.00
2018-05-01,549.58,1165.51,64.40,346.91,133.81,16.24,21.02,154.82,2265.00,506.00,2771.00
2018-06-01,368.66,1104.32,63.19,324.43,100.98,18.15,70.58,171.55,2014.00,509.00,2523.00
2018-07-01,366.48,1190.83,37.80,314.38,96.51,18.90,25.89,122.40,2012.98,477.00,2489.98
2018-08-01,336.09,1175.68,85.79,346.17,117.79,18.80,32.32,150.11,2075.04,499.00,2574.04
2018-09-01,263.06,1114.83,58.72,302.28,83.11,18.08,1.09,84.20,1805.00,495.00,2300.00
2018-10-01,302.62,1245.31,50.80,341.82,112.92,18.09,25.60,138.53,2060.99,508.00,2568.99
2018-11-01,299.03,1101.08,62.74,299.64,106.56,16.77,45.75,152.31,1898.01,478.00,2376.01
2018-12-01,349.72,1078.41,22.75,308.90,102.16,13.51,164.56,266.72,2012.98,563.00,2575.98
2019-01-01,478.47,1191.12,71.14,333.34,120.38,16.40,95.91,216.28,2273.95,519.00,2792.95
2019-02-01,408.35,1051.31,70.56,265.79,119.88,12.53,-28.41,91.47,1874.95,485.00,2359.95
2019-03-01,457.80,1085.06,21.17,331.61,113.38,14.83,42.79,156.16,2036.99,542.00,2578.99
2019-04-01,462.84,1132.48,67.71,322.96,109.93,14.49,2.62,112.55,2084.04,486.00,2570.04
2019-05-01,510.95,1202.36,62.83,368.43,113.84,14.48,79.09,192.93,2323.02,468.00,2791.02
2019-06-01,412.22,1012.13,63.65,286.32,107.81,14.20,-68.91,38.90,1799.02,446.00,2245.02
2019-07-01,408.62,1222.68,52.86,342.99,130.34,19.60,79.07,209.41,2216.96,460.00,2676.96
2019-08-01,288.86,1081.74,39.58,268.56,97.44,18.94,131.74,229.18,1888.97,424.00,2312.97
2019-09-01,365.27,1106.64,28.27,298.66,99.54,20.52,1.11,100.65,1878.97,411.00,2289.97
2019-10-01,380.37,1218.79,68.42,318.82,149.94,20.16,72.77,222.71,2188.96,540.00,2728.96
2019-11-01,347.71,1055.19,34.76,340.99,113.40,19.43,238.35,351.76,2110.97,449.00,2559.97
2019-12-01,457.88,1134.59,32.42,309.59,138.63,19.98,54.92,193.55,2108.04,551.00,2659.04
2020-01-01,442.03,1187.41,33.80,308.45,110.83,18.09,-11.39,99.44,2053.03,510.00,2563.03
2020-02-01,389.23,1093.03,19.06,300.12,105.59,18.19,104.17,209.75,1993.00,470.00,2463.00
2020-03-01,391.28,1097.70,19.00,319.72,115.79,13.84,-109.61,6.18,1820.05,444.00,2264.05
2020-04-01,358.79,827.01,17.56,229.56,71.60,18.04,-79.53,-7.94,1406.95,407.00,1813.95
2020-05-01,314.96,760.92,0.58,207.92,71.86,13.84,-83.43,-11.56,1258.98,381.00,1639.98
2020-06-01,388.52,996.92,22.39,256.94,106.18,11.79,-177.18,-71.00,1581.97,393.00,1974.97
2020-07-01,335.93,990.30,20.84,296.57,126.79,11.88,138.47,265.26,1897.03,405.00,2302.03
2020-08-01,247.72,927.54,21.33,253.93,111.61,26.92,-25.20,86.41,1510.03,357.00,1867.03
2020-09-01,281.29,1152.31,10.37,334.15,134.82,26.92,64.94,199.75,1950.96,459.00,2409.96
