Date,Min,Max,Avg
2019-09-12,177,207.58,220
2019-09-19,177,207.94,220
2019-09-26,177,209.11,225
2019-10-03,177,209.11,225
2019-10-10,177,209.68,225
2019-10-17,177,209.87,225
2019-10-24,177,210.65,225
2019-10-31,177,210.69,225
2019-11-07,177,211.84,225
2019-11-14,180,213.07,230
2019-11-21,180,213.45,230
2019-11-28,180,213.55,230
2019-12-05,180,213,230
2019-12-12,180,213.44,230
2019-12-19,180,217.62,230
2019-12-26,190,218.59,235
2020-01-01,200,221.81,235
2020-01-09,210,224.1,235
2020-01-16,210,224.81,235
2020-01-23,210,227.19,254
2020-01-30,210,233.07,254
2020-02-06,220,246.62,256
2020-02-13,220,251.09,256
2020-02-20,220,251.3,256
2020-02-27,220,251.3,256
2020-03-05,220,251.4,256
2020-03-12,220,251.4,256
2020-03-19,220,251.4,256
2020-03-26,220,251.45,256
2020-03-26,220,251.45,256
2020-04-02,220,249.32,256
2020-04-09,220,248.02,256
2020-04-16,220,248.02,256
2020-04-23,220,247.73,256
2020-04-30,220,247.45,256
2020-05-07,220,247.39,256
2020-05-07,220,247.39,256
2020-05-14,220,247.26,256
2020-05-21,220,247.26,256
2020-05-28,220,247.26,256
2020-06-04,220,247.26,256
2020-06-11,220,247.9,256
2020-06-18,220,247.9,256
2020-06-25,220,247.9,256
2020-07-02,220,247.9,256
2020-07-09,220,246.68,255
2020-07-16,220,246.67,255
2020-07-23,220,246.67,255
2020-07-29,220,246.67,255
2020-08-06,220,245.27,255
2020-08-13,220,244.96,255
2020-08-20,220,243.65,254
2020-08-27,220,242.96,254
2020-09-03,220,243.53,260
2020-09-10,220,243.53,260
2020-09-17,220,244.5,260
2020-09-24,220,244.94,260
2020-10-01,230.0,246.23,260
2020-10-08,230.0,246.23,260
2020-10-16,230.0,247.15,265
2020-10-23,230.0,247.15,265.0
