Symbol,Date,Open,High,Low,Close,Volume
KSE-ALL,16-Sep-2019,23256.09,23348.49,23195.27,23334.15,104605660
KSE-ALL,17-Sep-2019,23372.96,23423.33,23259.26,23314.98,122012850
KSE-ALL,18-Sep-2019,23299.79,23303.29,23072.54,23123.13,99363940
KSE-ALL,19-Sep-2019,23121.94,23452.69,23090.39,23429.34,136566730
KSE-ALL,20-Sep-2019,23470.05,23527.84,23348.20,23383.91,153277640
KSE-ALL,23-Sep-2019,23403.49,23403.49,23121.78,23145.92,86617880
KSE-ALL,24-Sep-2019,23158.45,23268.26,23050.94,23242.49,88807620
KSE-ALL,25-Sep-2019,23228.43,23261.96,23014.79,23108.36,104764940
KSE-ALL,26-Sep-2019,23135.45,23135.45,22990.04,23083.25,124475550
KSE-ALL,27-Sep-2019,23123.72,23438.75,23054.78,23430.12,135161710
KSE-ALL,30-Sep-2019,23476.54,23596.73,23328.83,23427.60,166047260
KSE-ALL,01-Oct-2019,23433.39,23517.56,23378.88,23500.24,180728940
KSE-ALL,02-Oct-2019,23503.16,23570.73,23434.82,23536.08,181357210
KSE-ALL,03-Oct-2019,23560.89,23827.95,23452.21,23794.56,324260250
KSE-ALL,04-Oct-2019,23811.93,23979.27,23778.75,23972.47,261816440
KSE-ALL,07-Oct-2019,23975.09,24379.87,23913.45,24248.22,392157620
KSE-ALL,08-Oct-2019,24311.64,24399.80,24112.40,24150.71,243025330
KSE-ALL,09-Oct-2019,24138.90,24232.00,24074.71,24187.77,237676960
KSE-ALL,10-Oct-2019,24202.10,24589.66,24202.10,24574.58,261561220
KSE-ALL,11-Oct-2019,24618.49,24971.88,24618.49,24794.59,287100690
KSE-ALL,14-Oct-2019,24816.30,24958.54,24632.58,24669.22,137932650
KSE-ALL,15-Oct-2019,24677.47,24714.70,24534.71,24624.71,156402300
KSE-ALL,16-Oct-2019,24701.24,24847.06,24659.14,24813.33,151367050
KSE-ALL,17-Oct-2019,24822.39,24884.71,24561.68,24589.99,137994720
KSE-ALL,18-Oct-2019,24600.85,24633.10,24372.31,24453.83,115228160
KSE-ALL,21-Oct-2019,24449.33,24454.93,23984.51,23984.51,130285140
KSE-ALL,22-Oct-2019,23990.34,24115.53,23906.05,24094.48,83612250
KSE-ALL,23-Oct-2019,24140.28,24337.44,24140.28,24304.12,116944630
KSE-ALL,24-Oct-2019,24321.10,24546.58,24298.67,24537.83,121325410
KSE-ALL,25-Oct-2019,24552.05,24659.29,24408.93,24457.65,170857654
KSE-ALL,28-Oct-2019,24496.01,24637.89,24412.39,24543.78,135633699
KSE-ALL,29-Oct-2019,24599.99,24630.67,24456.57,24500.50,225084937
KSE-ALL,30-Oct-2019,24512.57,24602.32,24408.49,24572.48,129961604
KSE-ALL,31-Oct-2019,24590.06,24777.37,24588.54,24698.78,183976532
KSE-ALL,01-Nov-2019,24691.29,24850.87,24602.34,24729.70,157118951
KSE-ALL,04-Nov-2019,24749.18,25226.72,24749.18,25191.77,207782700
KSE-ALL,05-Nov-2019,25264.91,25378.25,25190.01,25281.96,308484510
KSE-ALL,06-Nov-2019,25364.21,25752.54,25364.21,25551.19,298062496
KSE-ALL,07-Nov-2019,25651.49,25664.90,25377.39,25616.92,265966053
KSE-ALL,08-Nov-2019,25634.83,25801.66,25633.78,25730.62,210573470
KSE-ALL,11-Nov-2019,25787.77,26165.23,25787.77,26126.93,282944821
KSE-ALL,12-Nov-2019,26252.29,26293.60,26045.22,26177.27,292060810
KSE-ALL,13-Nov-2019,26197.10,26446.52,26031.62,26400.68,275430851
KSE-ALL,14-Nov-2019,26484.79,26598.55,26365.75,26439.91,336365941
KSE-ALL,15-Nov-2019,26509.91,26747.40,26439.91,26714.13,369038836
KSE-ALL,18-Nov-2019,26891.93,27270.60,26891.93,27248.39,466079440
KSE-ALL,19-Nov-2019,27367.15,27533.38,27110.08,27226.93,385321010
KSE-ALL,20-Nov-2019,27274.18,27288.72,26857.86,26896.80,327637745
KSE-ALL,21-Nov-2019,26914.49,26952.08,26322.71,26370.44,232569970
KSE-ALL,22-Nov-2019,26378.81,26880.31,26308.34,26858.99,243041420
KSE-ALL,25-Nov-2019,26927.46,27117.27,26847.87,27062.61,241536062
KSE-ALL,26-Nov-2019,27103.75,27282.58,26599.99,26805.46,488701071
KSE-ALL,27-Nov-2019,26868.80,27063.37,26742.71,27062.69,228419190
KSE-ALL,28-Nov-2019,27104.22,27586.51,27104.22,27439.12,348526983
KSE-ALL,29-Nov-2019,27567.34,27926.85,27567.34,27838.52,431853610
KSE-ALL,02-Dec-2019,27986.52,28280.45,27845.49,28271.45,557394494
KSE-ALL,03-Dec-2019,28402.18,28461.58,28082.13,28118.73,448876000
KSE-ALL,04-Dec-2019,28165.01,28462.90,28080.23,28434.53,393150260
KSE-ALL,05-Dec-2019,28581.96,28788.81,28566.71,28711.70,507900290
KSE-ALL,06-Dec-2019,28776.21,29012.95,28711.70,28863.44,416921420
KSE-ALL,09-Dec-2019,28922.12,29043.78,28695.16,28783.59,320078200
KSE-ALL,10-Dec-2019,28812.30,28992.22,28699.11,28967.89,254622500
KSE-ALL,11-Dec-2019,29030.13,29156.98,28883.29,28937.45,305027860
KSE-ALL,12-Dec-2019,28956.21,29156.87,28766.80,29041.75,227022850
KSE-ALL,13-Dec-2019,29088.56,29429.20,29088.56,29320.16,270713690
KSE-ALL,16-Dec-2019,29387.40,29892.25,29387.40,29871.91,357788940
KSE-ALL,17-Dec-2019,30053.69,30179.37,29455.31,29820.47,412285870
KSE-ALL,18-Dec-2019,29785.30,29897.12,29465.87,29536.05,276197842
KSE-ALL,19-Dec-2019,29546.97,29642.63,28735.91,28866.67,260143410
KSE-ALL,20-Dec-2019,28923.72,29138.76,28762.42,29118.20,180706350
KSE-ALL,23-Dec-2019,29105.78,29105.78,28573.94,28648.23,179095171
KSE-ALL,24-Dec-2019,28614.10,28936.47,28296.65,28866.37,236222930
KSE-ALL,26-Dec-2019,28902.69,29228.23,28902.69,29207.19,236832330
KSE-ALL,27-Dec-2019,29265.55,29287.25,28937.52,29017.57,267578470
KSE-ALL,30-Dec-2019,29091.77,29336.32,29044.31,29101.84,165834760
KSE-ALL,31-Dec-2019,29135.76,29168.79,28936.15,29011.73,177121380
KSE-ALL,01-Jan-2020,29042.83,29340.07,29042.83,29279.97,330740610
KSE-ALL,02-Jan-2020,29366.08,29907.23,29366.08,29872.97,412354330
KSE-ALL,03-Jan-2020,30046.67,30055.79,29664.41,29774.00,322885280
KSE-ALL,06-Jan-2020,29547.06,29547.06,29100.25,29145.52,266633470
KSE-ALL,07-Jan-2020,29209.90,29395.66,29072.64,29375.75,206892240
KSE-ALL,08-Jan-2020,29157.77,29308.98,28880.39,29010.85,280071600
KSE-ALL,09-Jan-2020,29319.09,29667.92,29319.09,29654.66,362490340
KSE-ALL,10-Jan-2020,29722.54,30072.00,29722.54,30058.45,400084930
KSE-ALL,13-Jan-2020,30109.26,30194.74,29900.41,30020.98,366135385
KSE-ALL,14-Jan-2020,30059.23,30151.32,29932.22,29973.44,249669660
KSE-ALL,15-Jan-2020,29986.93,29999.17,29798.95,29892.79,171256950
KSE-ALL,16-Jan-2020,29913.19,30007.53,29779.46,29914.47,229862940
KSE-ALL,17-Jan-2020,29929.82,30037.83,29914.46,29998.45,211406865
KSE-ALL,20-Jan-2020,30043.65,30090.80,29734.92,29808.60,173897330
KSE-ALL,21-Jan-2020,29856.28,29928.72,29621.09,29735.95,177567170
KSE-ALL,22-Jan-2020,29746.05,29754.25,29308.76,29561.63,177984850
KSE-ALL,23-Jan-2020,29621.60,29759.68,29409.11,29456.52,230827150
KSE-ALL,24-Jan-2020,29429.50,29585.39,29318.90,29529.89,173043120
KSE-ALL,27-Jan-2020,29561.49,29594.55,29431.95,29462.60,198479790
KSE-ALL,28-Jan-2020,29457.47,29457.47,29224.74,29345.90,189002866
KSE-ALL,29-Jan-2020,29352.56,29447.56,29083.61,29135.35,197137000
KSE-ALL,30-Jan-2020,29132.60,29181.59,28969.60,29123.53,162237910
KSE-ALL,31-Jan-2020,29166.18,29257.79,28944.68,29067.54,193866160
KSE-ALL,03-Feb-2020,28941.03,28941.03,28246.97,28315.61,203139320
KSE-ALL,04-Feb-2020,28356.76,28512.76,28245.13,28493.84,146091910
KSE-ALL,06-Feb-2020,28577.12,28633.74,28375.60,28398.38,127803640
KSE-ALL,07-Feb-2020,28458.75,28458.75,27983.62,28042.82,193536140
KSE-ALL,10-Feb-2020,28053.71,28053.71,27470.21,27520.35,180766520
KSE-ALL,11-Feb-2020,27557.93,28017.17,27492.28,27865.16,161527860
KSE-ALL,12-Feb-2020,27959.21,28384.45,27954.82,28309.35,180327770
KSE-ALL,13-Feb-2020,28380.58,28469.42,28191.97,28256.09,197436400
KSE-ALL,14-Feb-2020,28327.55,28330.57,27917.81,28015.75,117597500
KSE-ALL,17-Feb-2020,28031.50,28132.10,27900.27,28002.69,99965470
KSE-ALL,18-Feb-2020,28036.95,28142.31,27757.90,27807.10,91643590
KSE-ALL,19-Feb-2020,27843.32,28108.02,27843.32,28063.85,142964390
KSE-ALL,20-Feb-2020,28122.67,28134.78,27989.14,28018.02,112084380
KSE-ALL,21-Feb-2020,28028.54,28039.38,27854.85,27895.15,85597900
KSE-ALL,24-Feb-2020,27890.63,27890.63,27200.92,27248.30,144282360
KSE-ALL,25-Feb-2020,27206.95,27321.45,26851.06,27018.98,124348120
KSE-ALL,26-Feb-2020,27058.85,27072.25,26560.80,26687.95,147943160
KSE-ALL,27-Feb-2020,26494.50,26507.48,25780.38,26396.96,249243030
KSE-ALL,28-Feb-2020,26301.83,26519.47,26181.00,26289.38,202177240
KSE-ALL,02-Mar-2020,26342.71,27096.59,26342.71,27059.34,215251320
KSE-ALL,03-Mar-2020,27186.69,27385.30,26854.16,27054.89,225275610
KSE-ALL,04-Mar-2020,27064.16,27070.16,26797.35,26919.79,186985760
KSE-ALL,05-Mar-2020,26961.15,27369.98,26961.15,27228.79,340722180
KSE-ALL,06-Mar-2020,27129.08,27129.08,26517.64,26557.85,244454530
