Date,OCAC,MOI,BOS,LSM
Sep-17,121.64,118.65,173.13,130.78
Oct-17,135.11,127.03,181.62,139.57
Nov-17,105.1,126.22,164.53,132.97
Dec-17,100.95,149.31,185.87,153.58
Jan-18,118.88,179.4,165.76,171.76
Feb-18,118.73,165.65,170.4,163.08
Mar-18,128.77,179.64,177.06,175.17
Apr-18,133.3,153.11,179.18,157.28
May-18,136.65,127.45,173.65,138.25
Jun-18,123.04,115.42,162.59,126.31
Jul-18,120.28,124.13,177.48,135.49
Aug-18,114.37,121.17,177.42,132.93
Sep-18,114.11,124.04,175.53,134.53
Oct-18,122.42,133.6,182.14,143.34
Nov-18,110.13,122.55,181.81,134.54
Dec-18,93.66,133.95,157.08,135.9
Jan-19,114.08,168.32,195.84,170.16
Feb-19,106.22,162.6,173.41,160.63
Mar-19,116.35,159.27,188.27,162.3
Apr-19,121.12,134.69,193.32,146.45
May-19,117.42,123.04,210.19,141.65
Jun-19,96.29,114.71,167.81,124.89
Jul-19,90.18,118.63,169.37,127.53
Aug-19,102.89,112.07,171.92,124.44
Sep-19,105.19,117.71,168.61,127.87
Oct-19,108.06,124.72,176.66,134.78
Nov-19,104.13,117.48,177.86,129.65
Dec-19,94.8,148,173.35,149.45
Jan-20,100.86,159.06,184,160.04
Feb-20,67.71,162.95,184.35,160.3
Mar-20,60.9,117.91,178.41,126.74
Apr-20,58.74,65.46,159.09,85.4
May-20,96.06,85.52,157.1,101.97
Jun-20,86.84,110.01,175.15,122.46
Jul-20,106.71,123.51,184.32,135.5
Aug-20,97.55,115.08,168.41,125.38
Sep-20,102.2,127.74,187.8,138.9
Oct-20,106.3,136.36,188.11,145.36
Nov-20,105.34,140.54,183.98,147.32
