Date,Min,Avg,Max
2019-09-12,100,125.91,170
2019-09-19,100,126.07,170
2019-09-26,90,125.68,170
2019-10-03,90,126.6,170
2019-10-10,100,127.43,170
2019-10-17,100,129.84,170
2019-10-24,100,129.91,170
2019-10-31,100,129.8,170
2019-11-07,100,131.59,180
2019-11-14,100,133.01,180
2019-11-21,110,134.57,180
2019-11-28,110,136.15,180
2019-12-05,110,136.19,180
2019-12-12,110,135.99,180
2019-12-19,110,136.92,180
2019-12-26,110,138.56,180
2020-01-01,120,141.45,180
2020-01-09,120,144.19,180
2020-01-16,120,146.66,180
2020-01-23,130,148.16,180
2020-01-30,130,148.9,180
2020-02-06,130,148.98,180
2020-02-13,120,145.97,180
2020-02-20,110,144.09,180
2020-02-27,120,142.58,180
2020-03-05,120,141.37,180
2020-03-12,110,139.74,180
2020-03-19,120,140.35,180
2020-03-26,120,144.51,200
2020-03-26,120,144.51,200
2020-04-02,120,154.94,230
2020-04-09,140,167.07,240
2020-04-16,150,180.45,250
2020-04-23,140,177.77,240
2020-04-30,140,174.87,240
2020-05-07,140,170.24,240
2020-05-07,140,170.24,240
2020-05-14,140,166.64,200
2020-05-21,130,164.7,200
2020-05-28,130,162.81,200
2020-06-04,130,162.45,200
2020-06-11,130,161.21,200
2020-06-18,130,158.6,200
2020-06-25,130,159.34,200
2020-07-02,120,157.78,200
2020-07-09,130,156.87,200
2020-07-16,130,155.86,200
2020-07-23,130,154.19,200
2020-07-29,130,152.95,200
2020-08-06,130,151.97,200
2020-08-13,130,151.88,200
2020-08-20,130,152.76,180
2020-08-27,130,155.05,180
2020-09-03,130,154.84,180
2020-09-10,130,156.62,180
2020-09-17,130,156.99,180
2020-09-24,130,158.21,180
2020-10-01,130,158.29,180
2020-10-08,130,160.20,180
2020-10-16,130.0,159.83,200.0
2020-10-23,130.0,160.55,200.0
2020-10-29,130.0,160.55,200.0
2020-11-05,130.0,160.54,200.0
2020-11-12,130.0,160.12,180.0
2020-11-19,130.0,158.68,180.0
