Date,R-CPI,Food,Housing,Transport
2017-07-01,106.29,105.47,106.91,102.64
2017-07-02,106.37,105.32,107.29,102.01
2017-07-03,107.54,107.49,107.7,103.34
2017-07-04,109.04,109.91,108.76,104.76
2017-07-05,109.83,110.96,109.48,106.16
2017-07-06,109.68,109.78,110.1,107.09
2017-07-07,109.6,108.06,111.23,109.7
2017-07-08,109.11,106.13,111.16,111.52
2017-07-09,109.25,105.39,111.31,115.62
2017-07-10,109.95,105.98,112.15,114.53
2017-07-11,110.33,106.01,112.43,115.56
2017-07-12,111.45,107.54,112.96,118.14
2018-07-01,113.31,109.4,117.59,120.91
2018-08-01,112.97,109.07,116.12,121.16
2018-09-01,113.01,108.66,116.8,120.28
2018-10-01,115.23,112.02,119.21,122.14
2018-11-01,115.03,111,117.34,125.47
2018-12-01,114.7,109.2,118.23,125.65
2019-01-01,114.67,109.1,118.45,122.32
2019-02-01,115.67,111.23,118.6,122.08
2019-03-01,118.21,115.37,120.91,125.23
2019-04-01,118.89,116,119.6,128.84
2019-05-01,119.45,116.75,118.05,135.43
2019-06-01,120.3,117.5,118.9,138.09
2019-07-01,122.22,119.15,119.99,139.88
2019-08-01,124.56,122.83,120.36,142.48
2019-09-01,125.55,125.24,120.06,139.97
2019-10-01,128.28,128.88,125,140.13
2019-11-01,130.67,133.58,125.49,140.8
2019-12-01,130.27,131.96,126.06,142.07
2020-01-01,133.41,136.89,129.64,143.36
2020-02-01,132.12,134.17,126.2,144.02
2020-03-01,131.99,133.59,127.38,138.06
2020-04-01,130.58,130.87,127.99,131.78
2020-05-01,131.03,132.78,128.66,123.25
2020-06-01,132.36,135.66,129.3,122.26
2020-07-01,136.36,141.49,126.58,134.53
2020-08-01,136.84,139.97,128.98,138.18
2020-09-01,139.51,145.2,128.93,137.96
2020-10-01,142.79,152.5,129.57,138.56
2020-11-01,144.34,155.84,129.97,135.81
