Date,USA,UK,Saudi_Arabia,UAE,Other_GCC,EU,Malaysia,Norway,Switzerland,Australia,Canada,Japan,Other,Target
2018-07-01,284.49,298.51,437.48,446.30,199.31,64.96,140.73,4.05,2.41,20.00,16.60,1.58,57.98,1974.35
2018-08-01,324.08,294.90,465.53,473.10,193.17,59.68,148.74,4.27,3.30,21.68,21.31,1.75,71.56,2083.08
2018-09-01,234.33,216.75,360.16,308.10,134.49,41.12,105.75,3.08,2.99,16.24,14.69,1.12,41.45,1480.30
2018-10-01,317.46,322.29,494.53,419.40,200.87,57.42,142.49,4.09,2.45,25.42,19.76,1.80,44.56,2052.55
2018-11-01,261.27,246.78,395.12,350.40,153.52,42.22,120.34,3.12,2.69,22.41,16.07,1.33,41.78,1657.00
2018-12-01,268.72,267.79,414.59,351.20,174.42,47.48,129.29,3.11,2.75,21.92,15.46,1.64,42.18,1740.54
2019-01-01,264.26,295.17,403.92,349.70,166.51,42.90,120.21,3.49,1.72,19.20,15.99,1.30,51.50,1735.85
2019-02-01,232.98,252.49,370.04,336.00,152.25,37.70,109.85,2.95,1.72,16.54,14.53,1.40,45.22,1573.68
2019-03-01,258.76,281.54,405.88,378.10,167.84,44.25,121.27,3.28,1.85,17.89,14.96,1.57,36.31,1733.50
2019-04-01,260.22,280.02,428.04,372.50,175.46,48.19,123.96,2.94,2.29,19.03,17.73,1.91,37.92,1770.17
2019-05-01,335.08,387.09,493.73,476.60,237.77,70.61,175.91,5.27,5.22,29.61,30.99,5.81,48.36,2302.02
2019-06-01,267.43,268.98,333.99,356.00,163.45,52.50,113.20,3.82,1.68,16.10,14.94,1.75,42.51,1636.37
2019-07-01,137.89,216.77,577.24,490.63,273.35,162.36,24.54,7.56,2.37,26.71,24.31,5.71,78.84,2028.28
2019-08-01,133.44,180.81,463.50,405.18,224.57,142.82,17.16,5.33,2.84,23.30,22.38,4.89,57.73,1683.95
2019-09-01,117.25,176.90,515.75,422.44,228.51,143.72,16.41,4.64,1.89,22.31,21.57,4.21,64.65,1740.25
2019-10-01,138.12,237.33,549.88,494.25,264.28,155.52,25.32,5.45,2.31,27.60,25.13,5.31,70.72,2001.22
2019-11-01,130.94,196.62,490.78,459.76,242.91,141.24,27.09,5.40,3.18,25.39,21.41,4.89,71.84,1821.45
2019-12-01,159.17,229.01,577.06,504.38,282.95,150.68,20.53,6.05,3.31,30.49,25.71,6.70,101.03,2097.07
2020-01-01,148.80,201.51,531.60,463.49,260.55,141.99,20.54,5.31,2.03,27.35,24.89,4.65,74.27,1906.98
2020-02-01,137.96,173.76,513.14,467.98,248.62,132.59,18.94,4.63,1.86,25.15,21.88,5.15,73.17,1824.83
2020-03-01,142.92,180.49,556.73,510.98,238.60,132.62,17.19,4.44,2.03,21.51,21.30,6.28,69.59,1904.68
2020-04-01,153.04,187.40,548.42,463.16,183.76,116.70,7.96,6.58,2.35,24.27,28.10,4.93,58.43,1785.10
2020-05-01,167.18,238.46,541.31,413.21,200.80,147.94,13.72,6.23,1.98,36.08,36.12,5.89,56.31,1865.23
2020-06-01,176.12,349.96,748.04,516.33,261.30,210.31,17.10,8.05,4.98,49.65,40.62,7.81,83.00,2473.27
2020-07-01,250.60,393.91,821.55,538.19,296.95,227.57,22.25,10.91,2.83,52.11,43.13,9.31,98.82,2768.13
2020-08-01,201.64,302.27,593.10,409.60,226.09,166.49,17.19,6.99,2.65,42.41,34.52,7.24,85.02,2095.21
2020-09-01,180.35,289.29,665.82,473.01,261.40,207.33,16.86,7.55,2.79,46.70,39.52,7.03,86.05,2283.70
2020-10-01,183.33,278.52,634.76,504.09,272.82,203.24,17.01,7.20,2.83,43.16,39.22,7.28,90.79,2284.25
2020-11-01,185.20,286.30,615.10,519.54,281.40,219.30,17.30,8.20,4.70,48.00,41.30,7.20,105.00,2338.60
