Date,Min,Avg,Max
12/09/2019,25,52.63,80
19/09/2019,30,48.85,80
26/09/2019,25,50.03,80
3/10/2019,40,64.08,100
10/10/2019,30,59.12,100
17/10/2019,60,85.69,120
24/10/2019,60,99.49,140
31/10/2019,70,114.72,160
7/11/2019,90,140.32,180
14/11/2019,110,205.88,280
21/11/2019,180,227.77,320
28/11/2019,150,199.92,260
5/12/2019,110,164.62,240
12/12/2019,80,130.13,220
19/12/2019,70,114.48,160
19/12/2019,70,114.48,160
26/12/2019,70,105.71,150
26/12/2019,70,105.71,150
1/01/2020,100,140.85,200
2/01/2020,100,140.85,200
2/01/2020,100,140.85,200
9/01/2020,100,148.66,220
9/01/2020,100,148.66,220
16/01/2020,60,109.88,160
16/01/2020,60,109.88,160
23/01/2020,50,76.1,120
23/01/2020,50,76.1,120
30/01/2020,40,63.64,100
30/01/2020,40,63.64,100
6/02/2020,40,54.2,90
13/02/2020,30,46.06,80
20/02/2020,20,43.46,80
27/02/2020,20,39.45,80
5/03/2020,15,35.19,70
12/03/2020,15,33.67,60
19/03/2020,20,40.61,60
26/03/2020,20,41.2,80
26/03/2020,20,41.2,80
2/04/2020,15,33.1,60
9/04/2020,10,30.67,60
16/04/2020,10,30.98,60
23/04/2020,10,28.29,60
30/04/2020,10,26.35,50
7/05/2020,10,25.53,50
7/05/2020,10,25.53,50
14/05/2020,10,25.63,60
21/05/2020,15,28.09,60
28/05/2020,15,26.77,60
4/06/2020,20,24.83,60
11/06/2020,20,28.31,60
18/06/2020,25,39.34,60
25/06/2020,30,56.48,80
2/07/2020,30,67.34,100
9/07/2020,60,96.5,120
16/07/2020,50,80.5,110
23/07/2020,40,79.96,110
29/07/2020,40,91.63,130
6/08/2020,40,61.31,100
13/08/2020,30,57.69,90
20/08/2020,30,57.81,80
27/08/2020,40,60.66,80
3/09/2020,50,76.78,120
10/09/2020,50,71.89,120
17/09/2020,70,91.81,120
