Date,Min,Avg,Max
2019-09-12,780,862.88,1080
2019-09-19,780,870.98,1100
2019-09-26,780,871.48,1100
2019-10-03,790,881.47,1100
2019-10-10,790,882.75,1100
2019-10-17,790,893.44,1120
2019-10-24,808,908.27,1140
2019-10-31,808,923.53,1160
2019-11-07,808,916.32,1200
2019-11-14,808,921.34,1200
2019-11-21,808,919.02,1200
2019-11-28,808,913.21,1180
2019-12-05,808,905.52,1180
2019-12-12,808,905.45,1180
2019-12-19,808,905.9,1180
2019-12-26,808,908.99,1180
2020-01-01,808,918.09,1180
2020-01-09,808,943.77,1180
2020-01-16,805,968.16,1360
2020-01-23,805,955.17,1360
2020-01-30,805,937.76,1320
2020-02-06,805,916.28,1240
2020-02-13,805,908.88,1200
2020-02-20,805,895.53,1200
2020-02-27,805,882.95,1120
2020-03-05,805,872.71,1120
2020-03-12,805,883.17,1120
2020-03-19,805,890.59,1160
2020-03-26,805,916.36,1200
2020-03-26,805,916.36,1200
2020-04-02,805,912.96,1200
2020-04-09,805,889.53,1160
2020-04-16,805,877.23,1160
2020-04-23,805,873.48,1120
2020-04-30,800,870.05,1120
2020-05-07,800,865.8,1180
2020-05-07,800,865.8,1180
2020-05-14,805,865.36,1140
2020-05-21,805,885.69,1140
2020-05-28,805,896.14,1140
2020-06-04,810,972.69,1140
2020-06-11,810,988.58,1160
2020-06-18,930,1038.15,1200
2020-06-25,940,1042.98,1200
2020-07-02,960,1048.97,1200
2020-07-09,860,1042.25,1200
2020-07-16,860,959.14,1240
2020-07-23,860,993.17,1360
2020-07-29,860,1003.9,1360
2020-08-06,860,996.32,1400
2020-08-13,860,1002.28,1400
2020-08-20,860,1002.57,1400
2020-08-27,860,998.35,1400
2020-09-03,860,997.61,1380
2020-09-10,860,1012.41,1360
2020-09-17,860,1013.95,1360
2020-09-24,860.00,1014.23,1360.00
2020-09-24,860.00,1014.23,1360.00
2020-10-01,860.00,1016.20,1360.00
2020-10-08,860.00,1044.45,1500.00
2020-10-16,860.00,1048.62,1500.00
2020-10-23,860.00,1034.86,1480.00
2020-10-29,860.00,1034.86,1480.00
2020-11-05,836.60,988.94,1380.00
2020-11-12,836.60,984.25,1350.00
2020-11-19,836.60,981.16,1350.00
2020-11-26,836.60,979.22,1320.00
