Date,Rate
2019-07-02, 158.0614 
2019-07-03, 157.6140 
2019-07-04, 156.5666 
2019-07-05, 156.9266 
2019-07-08, 157.3232 
2019-07-09, 157.3750 
2019-07-10, 157.8846 
2019-07-11, 158.4897 
2019-07-12, 158.7933 
2019-07-15, 159.8637 
2019-07-16, 160.0588 
2019-07-17, 159.8237 
2019-07-18, 160.0292 
2019-07-19, 160.1905 
2019-07-22, 160.5319 
2019-07-23, 160.5891 
2019-07-24, 160.7829 
2019-07-25, 160.4500 
2019-07-26, 160.5860 
2019-07-29, 160.4524 
2019-07-30, 160.0541 
2019-07-31, 159.5982 
2019-08-01, 159.4209 
2019-08-02, 159.1151 
2019-08-05, 158.9381 
2019-08-06, 158.6508 
2019-08-07, 158.2526 
2019-08-08, 158.2591 
2019-08-09, 158.4478 
2019-08-16, 158.9560 
2019-08-17, 158.6685 
2019-08-19, 158.6176 
2019-08-20, 158.5947 
2019-08-21, 158.5762 
2019-08-22, 158.2346 
2019-08-23, 157.5215 
2019-08-26, 157.3586 
2019-08-27, 157.2569 
2019-08-28, 157.2860 
2019-08-29, 157.2208 
2019-08-30, 156.8577 
2019-09-02, 156.6267 
2019-09-03, 156.6267 
2019-09-04, 156.2300 
2019-09-05, 156.3837 
2019-09-06, 156.3241 
2019-09-11, 156.3099 
2019-09-12, 156.1833 
2019-09-13, 156.1904 
2019-09-16, 156.2387 
2019-09-17, 156.3235 
2019-09-18, 156.2506 
2019-09-19, 156.2363 
2019-09-20, 156.0798 
2019-09-23, 156.1675 
2019-09-24, 156.1547 
2019-09-25, 156.1713 
2019-09-26, 156.1886 
2019-09-27, 156.1749 
2019-09-30, 156.3654 
2019-10-01, 156.3605 
2019-10-02, 156.3455 
2019-10-03, 156.3638 
2019-10-04, 156.5341 
2019-10-07, 156.4101 
2019-10-08, 156.4545 
2019-10-09, 156.3231 
2019-10-10, 156.1732 
2019-10-11, 156.0652 
2019-10-14, 156.0754 
2019-10-15, 156.0552 
2019-10-16, 156.0148 
2019-10-17, 155.8875 
2019-10-18, 155.9051 
2019-10-21, 155.9071 
2019-10-22, 155.8762 
2019-10-23, 155.8899 
2019-10-24, 155.8891 
2019-10-25, 155.8837 
2019-10-28, 155.8402 
2019-10-29, 155.7808 
2019-10-30, 155.7307 
2019-10-31, 155.6737 
2019-11-01, 155.6539 
2019-11-04, 155.6478 
2019-11-05, 155.6429 
2019-11-06, 155.5913 
2019-11-07, 155.5472 
2019-11-08, 155.4744 
2019-11-11, 155.4428 
2019-11-12, 155.4445 
2019-11-13, 155.4037 
2019-11-14, 155.4172 
2019-11-15, 155.3943 
2019-11-18, 155.3509 
2019-11-19, 155.3646 
2019-11-20, 155.3656 
2019-11-21, 155.3352 
2019-11-22, 155.2935 
2019-11-25, 155.3066 
2019-11-26, 155.3356 
2019-11-27, 155.3281 
2019-11-28, 155.3295 
2019-11-29, 155.2399 
2019-12-02, 155.2892 
2019-12-03, 155.1881 
2019-12-04, 155.1366 
2019-12-05, 155.0996 
2019-12-06, 155.0685 
2019-12-09, 154.9679 
2019-12-10, 154.9813 
2019-12-11, 154.9836 
