Date,Q1,Q2,Q3,Q4,Q5,Combined
12/09/2019,128.19,123.77,126.31,123.95,127.31,125.29
19/09/2019,129.33,124.97,127.56,125.24,128.61,126.56
26/09/2019,129.55,125.19,127.79,125.47,128.85,126.8
3/10/2019,130.08,125.51,128.06,125.66,129.22,127.03
10/10/2019,129.68,125,127.52,125.08,128.65,126.47
17/10/2019,132.89,128.81,130.45,127.51,131.14,129.45
24/10/2019,133.35,129.21,130.79,127.79,131.29,129.68
31/10/2019,134.22,130.05,131.56,128.51,131.89,130.36
7/11/2019,135.29,131.02,132.41,129.28,132.53,131.1
14/11/2019,137.56,133.02,134.18,130.87,133.76,132.53
21/11/2019,138.04,133.45,134.54,131.17,133.98,132.82
28/11/2019,136.8,132.27,133.46,130.16,133.16,131.87
5/12/2019,135.18,130.81,132.12,128.91,132.2,130.77
12/12/2019,133.99,129.75,131.21,128.13,131.65,130.06
19/12/2019,133.67,129.49,131.05,128.04,131.74,130.02
26/12/2019,134.01,129.93,131.64,128.75,132.81,130.87
1/01/2019,135.21,130.94,132.65,129.75,133.82,131.84
9/01/2020,135.82,131.51,133.21,130.28,134.22,132.32
16/01/2020,135.23,131.06,132.91,130.06,134.05,132.08
23/01/2020,134.48,130.35,132.31,129.51,133.59,131.55
30/01/2020,134.06,129.93,131.9,129.09,133.08,131.08
6/02/2020,134.7,130.47,132.36,129.45,133.2,131.35
13/02/2020,134.07,129.88,131.81,128.93,132.74,130.85
20/02/2020,134.03,129.77,131.66,128.75,132.53,130.67
27/02/2020,132.23,127.37,130.04,127.56,131.53,129.15
5/03/2020,132.6,127.58,130.07,127.42,130.74,128.74
12/03/2020,133.6,128.58,131.05,128.41,131.6,129.66
19/03/2020,133.69,128.64,131.11,128.46,131.67,129.72
26/03/2020,133.39,127.98,130.18,127.18,129.49,128.1
26/03/2020,133.39,127.98,130.18,127.18,129.49,128.1
2/04/2020,131.03,125.54,127.64,124.51,126.9,125.52
9/04/2020,130.15,124.8,126.99,123.95,126.42,124.97
16/04/2020,130.14,124.85,127.11,124.13,126.67,125.16
23/04/2020,131.32,125.87,128.02,124.97,127.33,125.93
30/04/2020,132.18,126.78,128.97,125.98,128.19,126.84
7/05/2020,133.36,127.9,129.98,126.8,128.21,127.3
14/05/2020,133.3,127.88,129.99,126.85,128.22,127.31
21/05/2020,134.06,128.71,130.84,127.73,129.05,128.15
28/05/2020,134.2,128.87,131.02,127.91,129.21,128.32
4/06/2020,134.3,128.85,130.88,127.6,128.35,127.78
11/06/2020,134.77,129.19,131.13,127.73,128.28,127.85
18/06/2020,136.51,130.85,132.69,129.18,129.39,129.16
25/06/2020,137.02,131.25,132.99,129.4,129.5,129.36
2/07/2020,138.24,132.88,134.94,131.82,133.25,132.32
9/07/2020,139.99,134.54,136.44,133.22,134.39,133.62
16/07/2020,139.45,134.11,136.17,133.1,134.58,133.61
23/07/2020,140.05,134.62,136.63,133.49,134.71,133.89
29/07/2020,140.87,135.32,137.23,134,134.99,134.31
6/08/2020,140.4,134.89,136.92,133.81,135.09,134.23
13/08/2020,140.32,134.73,136.71,133.54,134.74,133.94
20/08/2020,140.05,134.62,136.63,133.49,134.71,133.89
27/08/2020,141.5,136.3,137.73,134.22,135.57,135.03
3/09/2020,143,137.68,138.97,135.38,136.51,136.11
10/09/2020,143.19,137.99,139.38,135.88,137.1,136.62
17/09/2020,144.42,139.18,140.5,136.93,137.96,137.59
24/09/2020,145.26,139.87,141.09,137.44,138.29,138.03
1/10/2020,146.49,141.02,142.17,138.47,139.18,139.01
8/10/2020,148.78,143.18,144.16,140.32,140.68,140.73
